elapsed_sec,raw_x,raw_y,raw_z
7.447,5368,-4448,12476
7.463,5804,-5740,13252
7.479,5560,-4464,13640
7.515,6196,-2344,14576
7.525,6928,412,15648
7.535,6440,1596,15664
7.546,6340,-448,15236
7.558,6248,-2944,14148
7.573,5820,-3704,13452
7.587,6132,-2840,14184
7.603,6572,-1604,14936
7.619,6704,-944,15328
7.635,6972,-684,15908
7.663,6568,-908,15340
7.675,6256,-1620,14836
7.686,5728,-2124,14288
7.696,6024,-2104,14876
7.714,6136,-1720,14852
7.73,6232,-808,15316
7.746,6412,-252,15584
7.761,6440,-124,15420
7.776,6100,-876,15228
7.791,6232,-1820,15268
7.824,6092,-2252,15112
7.834,6004,-1896,15116
7.845,5612,-984,14952
7.856,5912,240,15260
7.869,5748,1456,15072
7.885,5932,2044,15208
7.901,5456,512,14220
7.918,4744,-1476,13284
7.935,4344,-2608,13164
7.947,4076,-1892,13444
7.983,4168,-980,13660
7.993,4508,-496,14408
8.004,5556,-420,15152
8.016,5852,-672,15228
8.028,5596,-972,15608
8.041,5756,-1840,15256
8.057,5616,-2336,14356
8.073,5572,-1296,14800
8.089,5580,-928,14928
8.105,6264,-2264,15592
8.139,5924,-3636,15576
8.149,5504,-5140,14624
8.16,5252,-5436,13664
8.17,4948,-4512,13748
8.184,5908,-3404,14180
8.2,5816,-1988,14900
8.213,6380,-1000,15824
8.229,5960,-1796,15284
8.247,6164,-2144,14712
8.263,6548,-2136,14924
8.299,5768,-1984,14756
8.311,6128,-1560,15088
8.321,6208,-1188,15932
8.331,7036,-1252,15536
8.342,6704,-700,16440
8.357,6832,84,16044
8.373,5896,-1044,14668
8.389,4700,-3116,13280
8.402,4864,-4996,12996
8.419,4912,-4816,13392
8.445,5844,-2700,14600
8.456,7076,1464,16212
8.467,5888,4068,16632
8.479,5760,2264,15028
8.496,5768,-3620,13292
8.512,4648,-7880,12740
8.528,4652,-8564,11824
8.545,5312,-6304,13596
8.561,5736,-3232,14756
8.574,6424,-860,15320
8.601,7044,-524,16812
8.613,7412,120,16196
8.624,6248,-364,15636
8.64,6404,-1696,15068
8.652,5664,-3224,14360
8.669,5768,-3460,14192
8.685,5864,-3056,14344
8.7,6212,-2220,14696
8.716,5968,-1512,14688
8.733,6220,-1084,14872
8.758,6216,-1516,14880
8.768,5928,-2240,14484
8.779,5784,-2392,14652
8.794,6136,-1864,15208
8.811,6224,-692,15648
8.826,6096,-292,15164
8.839,5572,-1396,14500
8.856,5592,-2688,13960
8.872,5424,-3468,14060
8.889,6040,-2580,15008
8.916,6148,-484,15452
8.927,5596,76,14712
8.938,5436,-1228,14176
8.95,4884,-3148,13676
8.967,5276,-4216,13900
8.982,5716,-3348,15172
8.999,6696,-2248,15300
9.012,5208,-1908,15024
9.029,5476,-2040,14584
9.044,4528,-3808,13548
9.073,4688,-5120,13356
9.083,5624,-3112,14672
9.095,6344,-1352,16132
9.106,7044,396,17144
9.123,7072,820,17248
9.139,6504,-388,15816
9.156,6164,-2172,14840
9.171,5384,-2984,14112
9.187,5648,-3080,14016
9.2,5748,-1892,14688
9.241,6468,-804,15328
9.251,6948,528,16224
9.261,5996,1756,15372
9.273,5424,-640,14024
9.284,4308,-3360,13864
9.296,5012,-6396,12352
9.311,3544,-6160,13676
9.327,4984,-4832,13428
9.348,4780,-2904,13836
9.36,5812,-1704,14800
9.396,6792,-740,16228
9.407,7040,232,16352
9.417,6880,-500,16136
9.428,6204,-1256,15532
9.439,5700,-2048,14588
9.454,4872,-3452,14108
9.47,5856,-2404,14388
9.483,6048,-1268,14660
9.499,6856,-628,14992
9.515,5880,-508,15684
9.551,6040,-1128,14908
9.562,5700,-1332,14840
9.573,5620,-1536,14616
9.584,6036,-1968,14464
9.594,5472,-1644,14964
9.61,5984,-1900,14948
9.627,5356,-1756,15396
9.643,5564,-1928,14508
9.658,4584,-3012,13564
9.671,4636,-3932,12816
9.699,5532,-4448,13588
9.711,6424,-1756,15668
9.722,6984,2692,16576
9.736,6600,5760,16512
9.753,5680,4300,15744
9.765,5084,736,14064
9.782,4280,-3524,12436
9.798,4680,-3708,13480
9.814,4848,-2380,14068
9.831,5152,-872,14792
9.86,6336,-396,15808
9.87,6592,-268,15928
9.882,6308,24,15724
9.893,5920,144,15448
9.908,5624,-424,15328
9.925,6080,-1264,15736
9.942,5776,-1156,15452
9.958,6260,-488,15652
9.971,6252,216,15700
9.986,5964,408,15220
10.014,5076,-1272,13928
10.025,4264,-5072,12772
10.035,3876,-6828,12328
10.051,4516,-5572,13796
10.064,5932,-2192,15660
10.081,6772,708,16532
10.097,6404,808,15840
10.113,6236,-292,15272
10.13,6284,-2252,14744
10.146,5320,-3708,13868
10.17,5160,-3384,14256
10.182,5692,-1712,14836
10.192,5704,-116,15388
10.208,6656,1112,16452
10.224,6164,884,16112
10.24,5544,-996,15148
10.252,5088,-3500,14256
10.269,4980,-4268,13868
10.286,5116,-3204,14108
10.302,6196,-1432,15204
10.332,6200,192,15808
10.344,5280,-1028,14904
10.354,4588,-3932,13420
10.365,3820,-6600,12636
10.38,4408,-4420,13064
10.396,6236,-388,15628
10.412,8084,4620,16200
10.428,7988,6652,16264
10.442,5988,2180,13960
10.457,4204,-2156,12896
10.49,4512,-4876,12716
10.5,4776,-3696,13808
10.51,5628,-1740,15244
10.523,5292,-816,15492
10.536,6044,-976,15428
10.552,5896,-1668,15012
10.569,5696,-1116,15008
10.584,6228,-724,14584
